year,total_precipitation,median_precipitation
38.269,4287.0,1094.0
38.27,8574.0,1094.0
38.271,8574.0,1094.0
38.273,8574.0,1094.0
38.274,8574.0,1094.0
38.275,4287.0,1094.0
38.276,8574.0,1094.0
38.277,4287.0,1094.0
38.278,8574.0,1094.0
38.279,8574.0,1094.0
38.28,4287.0,1094.0
38.281,4287.0,1094.0
38.282,8574.0,1094.0
38.283,8574.0,1094.0
38.284,4287.0,1094.0
38.285,12861.0,1094.0
38.286,4287.0,1094.0
38.287,12861.0,1094.0
38.288,4287.0,1094.0
38.289,8574.0,1094.0
38.29,8574.0,1094.0
38.291,12861.0,1094.0
38.292,4287.0,1094.0
38.293,12861.0,1094.0
38.294,12861.0,1094.0
38.295,21435.0,1094.0
38.296,12861.0,1094.0
38.297,30009.0,1094.0
38.298,30009.0,1094.0
38.299,30009.0,1094.0
38.3,47157.0,1094.0
38.301,8574.0,1094.0
38.303,4287.0,1094.0
38.304,4287.0,1094.0
38.305,4287.0,1094.0
38.306,4287.0,1094.0
38.307,4287.0,1094.0
38.308,4287.0,1094.0
38.309,4287.0,1094.0
38.31,4287.0,1094.0
38.312,8574.0,1094.0
38.313,4287.0,1094.0
38.314,4287.0,1094.0
38.315,4287.0,1094.0
38.316,4287.0,1094.0
38.317,4287.0,1094.0
38.318,4287.0,1094.0
38.319,8574.0,1094.0
38.32,4287.0,1094.0
38.321,8574.0,1094.0
38.322,4287.0,1094.0
38.323,4287.0,1094.0
38.324,8574.0,1094.0
38.325,4287.0,1094.0
38.326,8574.0,1094.0
38.327,4287.0,1094.0
38.328,8574.0,1094.0
38.329,8574.0,1094.0
38.33,4287.0,1094.0
38.331,12861.0,1094.0
38.333,8574.0,1094.0
38.334,8574.0,1094.0
38.335,8574.0,1094.0
38.336,4287.0,1094.0
38.337,12861.0,1094.0
38.338,4287.0,1094.0
38.339,8574.0,1094.0
38.34,12861.0,1094.0
38.341,8574.0,1094.0
38.342,4287.0,1094.0
38.343,21435.0,1094.0
38.344,8574.0,1094.0
38.345,21435.0,1094.0
38.346,21435.0,1094.0
38.347,21435.0,1094.0
38.348,21435.0,1094.0
38.349,47157.0,1094.0
38.35,38583.0,1094.0
38.351,8574.0,1094.0
38.353,4287.0,1094.0
38.354,4287.0,1094.0
38.355,4287.0,1094.0
38.356,4287.0,1094.0
38.357,4287.0,1094.0
38.358,4287.0,1094.0
38.359,4287.0,1094.0
38.36,4287.0,1094.0
38.361,4287.0,1094.0
38.362,4287.0,1094.0
38.363,4287.0,1094.0
38.364,4287.0,1094.0
38.365,4287.0,1094.0
38.366,4287.0,1094.0
38.367,8574.0,1094.0
38.368,4287.0,1094.0
38.369,4287.0,1094.0
38.37,8574.0,1094.0
38.371,8574.0,1094.0
38.373,8574.0,1094.0
38.374,8574.0,1094.0
38.375,4287.0,1094.0
38.376,8574.0,1094.0
38.377,4287.0,1094.0
38.378,8574.0,1094.0
38.379,8574.0,1094.0
38.38,8574.0,1094.0
38.381,4287.0,1094.0
38.382,4287.0,1094.0
38.383,8574.0,1094.0
38.384,8574.0,1094.0
38.385,8574.0,1094.0
38.386,4287.0,1094.0
38.387,12861.0,1094.0
38.388,4287.0,1094.0
38.389,8574.0,1094.0
38.39,12861.0,1094.0
38.391,8574.0,1094.0
38.392,4287.0,1094.0
38.393,12861.0,1094.0
38.394,17148.0,1094.0
38.395,21435.0,1094.0
38.396,12861.0,1094.0
38.397,30009.0,1094.0
38.398,30009.0,1094.0
38.399,30009.0,1094.0
38.4,47157.0,1094.0
38.401,8574.0,1094.0
38.403,4287.0,1094.0
38.404,4287.0,1094.0
38.405,4287.0,1094.0
38.406,4287.0,1094.0
38.407,4287.0,1094.0
38.408,4287.0,1094.0
38.409,4287.0,1094.0
38.41,4287.0,1094.0
38.411,4287.0,1094.0
38.412,4287.0,1094.0
38.413,8574.0,1094.0
38.414,4287.0,1094.0
38.415,4287.0,1094.0
38.416,8574.0,1094.0
38.417,4287.0,1094.0
38.418,4287.0,1094.0
38.419,8574.0,1094.0
38.42,4287.0,1094.0
38.421,8574.0,1094.0
38.422,8574.0,1094.0
38.424,8574.0,1094.0
38.425,8574.0,1094.0
38.426,4287.0,1094.0
38.427,4287.0,1094.0
38.428,12861.0,1094.0
38.429,4287.0,1094.0
38.43,4287.0,1094.0
38.431,12861.0,1094.0
38.433,8574.0,1094.0
38.434,8574.0,1094.0
38.435,8574.0,1094.0
38.436,4287.0,1094.0
38.437,12861.0,1094.0
38.438,4287.0,1094.0
38.439,8574.0,1094.0
38.44,12861.0,1094.0
38.441,8574.0,1094.0
38.442,4287.0,1094.0
38.443,17148.0,1094.0
38.444,17148.0,1094.0
38.445,21435.0,1094.0
38.446,12861.0,1094.0
38.447,30009.0,1094.0
38.448,21435.0,1094.0
38.449,38583.0,1094.0
38.45,47157.0,1094.0
38.451,8574.0,1094.0
38.453,4287.0,1094.0
38.454,4287.0,1094.0
38.455,4287.0,1094.0
38.456,4287.0,1094.0
38.457,4287.0,1094.0
38.458,4287.0,1094.0
38.459,4287.0,1094.0
38.46,8574.0,1094.0
38.461,4287.0,1094.0
38.462,4287.0,1094.0
38.463,8574.0,1094.0
38.464,4287.0,1094.0
38.465,4287.0,1094.0
38.466,8574.0,1094.0
38.467,4287.0,1094.0
38.468,4287.0,1094.0
38.469,8574.0,1094.0
38.47,4287.0,1094.0
38.471,8574.0,1094.0
38.472,8574.0,1094.0
38.474,8574.0,1094.0
38.475,8574.0,1094.0
38.476,4287.0,1094.0
38.477,4287.0,1094.0
38.478,12861.0,1094.0
38.479,4287.0,1094.0
38.48,8574.0,1094.0
38.481,8574.0,1094.0
38.483,8574.0,1094.0
38.484,8574.0,1094.0
38.485,8574.0,1094.0
38.486,4287.0,1094.0
38.487,12861.0,1094.0
38.488,4287.0,1094.0
38.489,8574.0,1094.0
38.49,12861.0,1094.0
38.491,8574.0,1094.0
38.492,4287.0,1094.0
38.493,25722.0,1094.0
38.494,8574.0,1094.0
38.495,25722.0,1094.0
38.496,17148.0,1094.0
38.497,21435.0,1094.0
38.498,30009.0,1094.0
38.499,38583.0,1094.0
38.5,38583.0,1094.0
38.501,8574.0,1094.0
38.503,8574.0,1094.0
38.504,4287.0,1094.0
38.505,4287.0,1094.0
38.506,4287.0,1094.0
38.507,8574.0,1094.0
38.508,4287.0,1094.0
38.509,4287.0,1094.0
38.51,8574.0,1094.0
